1,Citation,Date of Judgments,Length of marriage till IJ (include separation period),Length of marriage (exclude separation period),Number of children,Wife's income (monthly),Husband's income (monthly),Single or dual income marriage,Direct contri (Wife),Indirect contri (Wife),Average ratio (Wife),Final ratio (post-adjustments),Adjustments?,Adjustments were for,Remarks,,,New columns,Cost of Court
ASI v ASJ*,[2016] 1 SLR 1; [2015] SGHC 94,9-Apr-15,12,9,2,$15000,$27500,Dual,48,70,59,58,Minus 1,Just and equitable having considered all the circumstances (at [33]),"*LawNet editorial note shows that the plaintiff's appeal was allowed in part by the CA, with no written GD. Undisclosed what the plaintiff's appeal was on.",,,,
ANJ v ANK ,[2015] 4 SLR 1043,7-Jul-15,11,11,2,$6810,$12700,Dual,40,60,50,50,0,,,,,,
AVM v AWH,[2015] 4 SLR 1274; [2015] SGHC 194,27-Jul-15,15,14,3,$8550,$0,Dual,53.51,66.67,60 (rounded),60,0,Judge explicitly stated no adjustments made,,,,,
TGG v TGH,[2015] SGFC 123,1-Oct-15,15,15,2,$1615,$1515,Dual,19 (weighted at 66%),52 (weighted at 33%),29.9,23,Minus 6.9,"Adverse inference drawn against W, rent-free occupation of mat flat by W",,,,,
"Twiss, Christopher James Hans v Twiss, Yvonne Prendergast",[2015] SGCA 52,2-Oct-15,21,21,2,Undisclosed,Undisclosed,Dual,70,75,72.5,75,Plus 2.5,CA adopted the indirect ratio as a fair and proportionate representation of parties' contributions to matrimonial home,,,,,
THP v THQ ,[2015] SGFC 141,9-Nov-15,24,24,3,$0,$29007.17,Single,9,60,45,55,Plus 10,Increased weightage for indirect contribution (judge did not explicitly state the weightage accorded),,,,,
THL v THM,[2015] SGHCF 11,9-Nov-15,11,11,2,Undisclosed,Undisclosed,Single,0,60,30,25,Minus 5,"Greater weight given to direct contributions because of large pool of assets, 10-year marriage",,,,,
TIG v TIH,[2016] 1SLR 1218; [2015] SGHCF 12,8-Dec-15,31,30,4,Undisclosed (presumed 0),Undisclosed,Single ,4,60,32,35,Plus 3,To give weight to wife's indirect contributions,,,,,
Zhou Lijie v Wang Chengxiang,[2015] SGHC 316,14-Dec-15,9,9,0,Undisclosed,four,Single,0,50,25,15,Minus 10,"Need to give weight to defendant's direct contributions that created family wealth through his skill and industry over a short period of time (Childless marriage of 9 years, wife and her son had been residing in matrimonial home rent-free since parties lived apart in 2011, bulk of matrimonial assets acquired by defendant)",,,,,
TIV v TIW,[2015] SGFC 150,14-Dec-15,14,13,3,$0,$10000,Single,22,75,51,70,Plus 19,Wife given C&C of children (+9) and adverse inference against husband (+ 10),,,,,
TLS v TLT,[2016] SGFC 30,6-Jan-16,8,8,3,Undisclosed,Undisclosed,Dual,48,65,56.5,52,Minus 4.5,Adverse inference drawn against W,,,,,
TLB v TLC,[2016] SGHCF 3,4-Mar-16,14,9,1,$5000,$6000,Dual ,3,60,39,45,0,"Adverse inferences drawn against both the husband and wife for their respective under-declaration of assets. Husband had enjoyed a period of rent-free occupation of the matrimonial flat since October 2011 (i.e., after the wife’s departure) and that he had received rental income of $16,000 for the matrimonial flat during the period of February to November 2013.","The ratios apply to matrimonial flat, as HC varied the ratio for the matrimonial flat (although the ratios for the whole pool was also considered and was very similar to ratio for mat flat).",,,,
ARX v ARY and another appeal,[2016] 2 SLR 686; [2016] SGCA 13,10-Mar-16,16,15,2,$2500,$36000,Dual (but wife was homemaker for large part of marriage),27,70,48.5,50,,Judge did not explicitly consider the ratio of indirect contributions in ordering equal division. The CA found that it was 70:30 in favour of the wife and inferred this was the same ratio the judge used.,CA saw no reason to disturb judge's order of equal division,,,,
Tan Teck Koon v Tong Guat Hwa (Aberdeen apartment),[2016] SGHCF 2,18-Mar-16,26,26,2,$0,$2900,Single,0,60 (weighted at 60%),36,36,0,,Affirmed on appeal,,,,
Tan Teck Koon v Tong Guat Hwa (HDB flat),[2016] SGHCF 2,18-Mar-16,26,26,2,$0,$2900,Single,54.95 (weighted at 40%),60 (weighted at 60%),57.98,57.98,0,,Affirmed on appeal,,,,
Tan Teck Koon v Tong Guat Hwa (HDB flat),[2016] SGHCF 2,18-Mar-16,26,26,2,$0,$2900,Single,69.6(weighted at 40%),60 (weighted at 60%),63.84,63.84,0,,Affirmed on appeal,,,,
TLW v TLX ,[2016] SGFC 36,24-Mar-16,23,20,4,$750,$11416,Single,6.3,30,18.15,13.2,Minus 4.95,Adverse inference drawn against wife for concealing means and financial dealings,,,,,
AZZ v BAA,[2016] SGHC 44,31-Mar-16,6,5,2,$15000,Undisclosed ,Dual ,36.3,55,41.9,41.9,0,,,,,,
TME v TMF,[2016] SGHCF 6,12-Apr-16,19,19,1,$13500 (last drawn in 2010),$50000,Single (wife worked for a few years),4,70,37,42,Plus 5,Adverse inference drawn against husband for concealing funds,,,,,
BAJ v BAK,[2016] SGHC 86,5-May-16,5,5,1,$2900-$4600,$11000,Dual,45,60,52.5,52.5,0,,,,,,
